site_ID,growing_year,window,nobsv,extend_days,alpha,beta,C0,Hs,k2,TS,ERref,lnRatio
US-Uaf,2009,131_145,61,24,0.183796585,-0.003405129,0.96550186,NA,NA,3.530446264,1.661813469,-0.529634962
US-Uaf,2010,131_145,56,24,0.110886366,-0.004635443,2.283142935,NA,NA,3.265393882,3.072980453,0.085103503
US-Uaf,2011,131_145,100,24,0.190718018,-0.001476713,1.220176565,NA,NA,1.4979105,2.191938616,-0.252758054
US-Uaf,2013,131_145,79,24,0.145356191,-0.007293632,1.717279245,NA,NA,0.303137153,2.520980666,-0.11289644
US-Uaf,2014,131_145,99,24,0.142710034,-0.003641892,1.437250015,NA,NA,2.193132528,2.1775791,-0.259330663
US-Uaf,2015,131_145,110,24,0.152618082,-0.004722712,1.833552765,NA,NA,3.756290597,2.822278165,0
US-Uaf,2016,131_145,116,18,0.10263873,-0.003810312,1.68456217,NA,NA,5.241853106,2.220599225,-0.239767338
US-Uaf,2017,131_145,115,21,0.182802058,-0.003646391,0.855201236,NA,NA,4.522046238,1.465189994,-0.655559496
US-Uaf,2018,131_145,99,24,0.194447131,-0.001478423,1.08053798,NA,NA,2.640745381,1.963635324,-0.362746906
US-Uaf,2020,131_145,107,18,0.184735311,-0.003021864,0.962217157,NA,NA,4.039167127,1.670820852,-0.524229385
US-Uaf,2021,131_145,66,24,0.187978458,-0.001826649,1.71720182,NA,NA,3.980758688,3.047591822,0.076807293
US-Uaf,2024,131_145,108,24,0.060812035,-0.002423921,1.98591528,NA,NA,3.34731032,2.344168894,-0.185613496
US-Uaf,2009,145_159,34,24,0.162867736,-0.004043031,1.087048189,NA,NA,6.491368665,2.474566435,-0.493097801
US-Uaf,2010,145_159,45,24,0.132391916,-0.005022298,1.97540333,NA,NA,7.587788611,3.6125757,-0.114741996
US-Uaf,2011,145_159,77,24,0.175449117,-0.005031838,1.315338737,NA,NA,4.946492667,3.133552684,-0.2569956
US-Uaf,2013,145_159,66,24,0.130998442,-0.007273114,1.744326668,NA,NA,4.122292181,2.940808646,-0.320478411
US-Uaf,2014,145_159,28,24,0.087168267,-0.004715309,1.771025957,NA,NA,4.863693889,2.542568301,-0.465988291
US-Uaf,2015,145_159,62,24,0.109643937,-0.00360286,2.416140765,NA,NA,5.819725694,4.0518072,0
US-Uaf,2016,145_159,85,24,0.123391425,-0.004090627,1.5225039,NA,NA,6.90869064,2.708126177,-0.402906056
US-Uaf,2017,145_159,42,24,0.137738801,-0.003369695,1.287286461,NA,NA,6.37125078,2.558642436,-0.459686185
US-Uaf,2018,145_159,41,24,0.172346453,-0.004528838,1.315296821,NA,NA,6.032848804,3.122651408,-0.260480553
US-Uaf,2020,145_159,82,24,NA,NA,NA,NA,NA,NA,NA,NA
US-Uaf,2021,145_159,49,24,0.166032893,-0.006932513,1.879840845,NA,NA,6.054888094,3.959327217,-0.023088888
US-Uaf,2024,145_159,76,24,0.147876215,-0.004562945,1.427435475,NA,NA,6.148610644,2.927335837,-0.325070265
US-Uaf,2009,187_201,29,24,0.079768668,-0.004483417,3.307635099,NA,NA,11.25090972,4.334972514,-0.047827945
US-Uaf,2010,187_201,13,24,NA,NA,NA,NA,NA,NA,NA,NA
US-Uaf,2011,187_201,36,24,0.074788228,-0.005038934,3.638151436,NA,NA,9.644276389,4.165380701,-0.087735539
US-Uaf,2013,187_201,45,24,0.111111404,-0.002414759,1.697635075,NA,NA,10.57024736,3.93806021,-0.143854945
US-Uaf,2014,187_201,20,24,NA,NA,NA,NA,NA,NA,NA,NA
US-Uaf,2015,187_201,43,24,0.060279074,-0.006703932,5.48495395,NA,NA,10.72516944,4.547343494,0
US-Uaf,2016,187_201,39,24,0.067210397,-0.0051811,3.975117713,NA,NA,12.69304619,4.048599747,-0.116172135
US-Uaf,2017,187_201,23,24,NA,NA,NA,NA,NA,NA,NA,NA
US-Uaf,2018,187_201,26,24,0.09538237,-0.004394138,2.440025906,NA,NA,9.794999935,3.700067954,-0.20619203
US-Uaf,2020,187_201,14,24,NA,NA,NA,NA,NA,NA,NA,NA
US-Uaf,2021,187_201,41,24,0.101781583,-0.003771,2.732774989,NA,NA,10.54470973,4.955233962,0.085901169
US-Uaf,2024,187_201,49,24,0.07266777,-0.005655055,3.015813127,NA,NA,9.412611679,3.191054438,-0.354191808
US-Uaf,2009,201_215,29,24,0.108610873,-0.004021254,2.276240223,NA,NA,10.47417681,4.273691216,0.024616416
US-Uaf,2010,201_215,37,24,0.100603665,-0.003895977,1.944035718,NA,NA,10.64965111,3.330663266,-0.224690028
US-Uaf,2011,201_215,61,24,0.084238976,-0.004932299,3.260474259,NA,NA,9.992207222,4.258944206,0.021159799
US-Uaf,2013,201_215,57,24,0.14976276,-0.002452942,1.074264586,NA,NA,11.26587736,3.953481431,-0.053264926
US-Uaf,2014,201_215,23,24,NA,NA,NA,NA,NA,NA,NA,NA
US-Uaf,2015,201_215,57,24,0.07653247,-0.006132209,3.958671805,NA,NA,10.56653736,4.169772555,0
US-Uaf,2016,201_215,42,24,0.077626738,-0.004506352,3.29439888,NA,NA,10.40183992,4.003911723,-0.040589677
US-Uaf,2017,201_215,32,24,0.118657471,-0.003000273,1.937079376,NA,NA,11.79014952,4.508552279,0.078114608
US-Uaf,2018,201_215,48,24,0.073257881,-0.005187401,3.46263782,NA,NA,11.96558501,3.915630205,-0.062885203
US-Uaf,2020,201_215,11,24,NA,NA,NA,NA,NA,NA,NA,NA
US-Uaf,2021,201_215,51,24,0.137910151,-0.002850115,1.540997312,NA,NA,12.18203588,4.711603839,0.122166877
US-Uaf,2024,201_215,81,24,0.091554503,-0.005126313,2.177691539,NA,NA,10.59771525,3.069737526,-0.30626943
US-Uaf,2009,215_229,34,24,0.116377615,-0.003435505,1.942943902,NA,NA,8.79590625,4.044457893,-0.132017713
US-Uaf,2010,215_229,47,24,0.107011243,-0.003859876,1.755057707,NA,NA,10.75545625,3.221752577,-0.359439745
US-Uaf,2011,215_229,90,24,0.053059538,-0.006094887,4.668627165,NA,NA,8.411051528,4.357154428,-0.057546045
US-Uaf,2013,215_229,60,24,0.114282451,-0.00327105,1.871477671,NA,NA,10.49421625,4.007106067,-0.141295934
US-Uaf,2014,215_229,40,24,0.082637655,-0.005832858,3.027471715,NA,NA,9.393868889,3.853843223,-0.180294345
US-Uaf,2015,215_229,92,24,0.116682337,-0.005814162,2.624525415,NA,NA,9.666370694,4.615246298,0
US-Uaf,2016,215_229,76,24,0.100163689,-0.003846563,2.19011816,NA,NA,10.43263515,3.895097991,-0.169646398
US-Uaf,2017,215_229,47,24,0.106160487,-0.00382146,2.452763943,NA,NA,10.9811791,4.548543937,-0.014558068
US-Uaf,2018,215_229,97,24,0.132194587,-0.003662236,1.592069621,NA,NA,9.129760361,3.972049765,-0.15008296
US-Uaf,2020,215_229,24,24,NA,NA,NA,NA,NA,NA,NA,NA
US-Uaf,2021,215_229,64,24,0.132746922,-0.002675422,1.581732503,NA,NA,9.632376339,4.313127904,-0.067701863
US-Uaf,2024,215_229,91,24,0.092564362,-0.004965577,2.039201242,NA,NA,8.944872036,2.984937561,-0.435786407
US-Uaf,2009,229_243,64,24,0.161571532,-0.002813432,1.083908562,NA,NA,6.640264861,3.045852848,-0.225724397
US-Uaf,2010,229_243,44,24,0.036810418,-0.005677802,4.15452073,NA,NA,7.214602639,3.869406307,0.013595746
US-Uaf,2011,229_243,116,24,0.11187391,-0.006269291,2.84813698,NA,NA,7.129502639,4.566899318,0.179329149
US-Uaf,2013,229_243,91,24,0.174524812,-0.005183158,1.244046701,NA,NA,7.186703611,3.409750769,-0.112866139
US-Uaf,2014,229_243,36,24,0.092719344,-0.005637666,2.89477563,NA,NA,7.246195139,4.156732059,0.085223863
US-Uaf,2015,229_243,114,21,0.115725117,-0.006395129,2.318459825,NA,NA,6.961776667,3.817154844,0
US-Uaf,2016,229_243,93,24,0.141263915,-0.004274894,1.554653349,NA,NA,8.810993547,3.456047443,-0.099379761
US-Uaf,2017,229_243,75,24,0.098115824,-0.003842924,2.47070486,NA,NA,7.701665286,4.045502689,0.058100477
US-Uaf,2018,229_243,100,24,0.14162277,-0.003480844,1.495768589,NA,NA,7.085443357,3.463644237,-0.097184057
US-Uaf,2020,229_243,40,24,0.082124891,-0.005270966,2.078364125,NA,NA,8.515278067,2.795448798,-0.311512675
US-Uaf,2021,229_243,87,24,0.13753791,-0.002671683,1.40008379,NA,NA,6.317150882,3.315726127,-0.140828697
US-Uaf,2024,229_243,100,21,0.076092723,-0.005124153,2.328675515,NA,NA,6.88038821,2.977590148,-0.248391042
US-Uaf,2009,243_255,93,24,0.169451849,-0.002674548,1.032581504,NA,NA,6.119297596,2.312447816,-0.407385037
US-Uaf,2010,243_255,64,24,0.13426449,-0.005756384,1.713735515,NA,NA,5.468341186,2.918774263,-0.174527906
US-Uaf,2011,243_255,106,15,0.133064371,-0.005960342,2.50929505,NA,NA,5.07084391,4.232322949,0.197059342
US-Uaf,2013,243_255,97,24,0.153102907,-0.00447348,1.465424763,NA,NA,5.535763301,2.880473987,-0.187736802
US-Uaf,2014,243_255,67,24,0.171545025,-0.005678165,1.684155495,NA,NA,2.829041218,3.527212313,0.014816185
US-Uaf,2015,243_255,106,12,0.145258515,-0.005501007,1.89975093,NA,NA,3.532632774,3.475337724,0
US-Uaf,2016,243_255,107,24,0.118426983,-0.00486386,1.765169274,NA,NA,4.576136105,2.838331445,-0.202475301
US-Uaf,2017,243_255,112,18,0.149815636,-0.004396383,1.692618475,NA,NA,5.415999893,3.255238228,-0.0654262
US-Uaf,2018,243_255,104,18,0.1527407,-0.002961106,1.370089319,NA,NA,4.264736627,2.759115596,-0.230781469
US-Uaf,2020,243_255,72,24,0.111324517,-0.005108013,1.617422444,NA,NA,5.993813699,2.497796887,-0.330282563
US-Uaf,2021,243_255,91,24,0.118749995,-0.005004851,1.650667606,NA,NA,5.631359135,2.645930085,-0.272669019
US-Uaf,2024,243_255,113,15,0.12228338,-0.004675962,1.55930017,NA,NA,5.684672532,2.547829891,-0.310449687
CA-Ca3,2005,58_72,101,18,0.066428927,-0.006235705,2.64403149,NA,NA,6.188383611,3.052762517,0.553185631
CA-Ca3,2010,58_72,127,0,0.128767828,-0.004603671,1.406117165,NA,NA,4.824568056,2.058733458,0.159229674
CA-Ca3,2011,58_72,191,0,0.141427878,-0.005906429,1.29623384,NA,NA,1.521236375,1.960767539,0.110474705
CA-Ca3,2012,58_72,134,3,0.162653874,-0.004666476,1.42467852,NA,NA,2.904396464,2.352146894,0.29246719
CA-Ca3,2013,58_72,118,0,0.172979886,-0.003039202,1.180716466,NA,NA,4.275253764,2.049436294,0.154703484
CA-Ca3,2014,58_72,100,6,0.117351136,-0.004551772,1.250245031,NA,NA,1.907057035,1.755688861,0
CA-Ca3,2015,58_72,391,24,NA,NA,NA,NA,NA,NA,NA,NA
CA-Ca3,2016,58_72,493,24,NA,NA,NA,NA,NA,NA,NA,NA
CA-Ca3,2017,58_72,197,3,0.156932165,-0.003432372,1.063923765,NA,NA,1.454093014,1.743559688,-0.006932472
CA-Ca3,2018,58_72,123,9,0.127818728,-0.004424155,1.05770426,NA,NA,3.008301806,1.544572296,-0.128114252
CA-Ca3,2019,58_72,260,6,0.130465741,-0.003975022,0.842915879,NA,NA,1.331077875,1.257265783,-0.333921943
CA-Ca3,2020,58_72,139,0,0.124451716,-0.004518368,0.909526497,NA,NA,3.565105246,1.299853048,-0.300610075
CA-Ca3,2021,58_72,163,0,0.182509825,-0.00203672,0.883249895,NA,NA,3.937669306,1.60527176,-0.08956823
CA-Ca3,2022,58_72,170,0,0.151960425,-0.003912154,0.901463529,NA,NA,3.865154861,1.434804656,-0.201832581
CA-Ca3,2023,58_72,174,0,0.079876337,-0.005166217,0.965604706,NA,NA,2.082288056,1.191299902,-0.387816228
CA-Ca3,2024,58_72,244,0,0.12093852,-0.004956764,0.990957415,NA,NA,2.832114861,1.403940672,-0.223578245
CA-Ca3,2005,72_86,120,6,0.07052211,-0.005886676,2.51109125,NA,NA,5.143416667,3.043858851,0.320785985
CA-Ca3,2010,72_86,127,0,0.087404645,-0.004955767,1.823271437,NA,NA,5.4777,2.426595305,0.094149081
CA-Ca3,2011,72_86,141,0,0.100652255,-0.0048457,1.522549505,NA,NA,4.357254722,2.175670833,-0.015003039
CA-Ca3,2012,72_86,228,24,0.130012847,-0.005359578,1.477671205,NA,NA,3.43674719,2.43369431,0.09707031
CA-Ca3,2013,72_86,152,3,0.151980112,-0.004933607,1.373714489,NA,NA,4.837151306,2.524253134,0.133605146
CA-Ca3,2014,72_86,105,0,0.144934083,-0.004059872,1.227996119,NA,NA,4.202253272,2.208558598,0
CA-Ca3,2015,72_86,270,12,0.164631506,-0.002430609,0.968497504,NA,NA,7.31415,1.98410998,-0.107169644
CA-Ca3,2016,72_86,147,0,0.139827033,-0.003906103,1.439638501,NA,NA,5.799651667,2.508340339,0.12728123
CA-Ca3,2017,72_86,168,0,0.171534046,-0.002916617,1.051963272,NA,NA,4.340343387,2.227024806,0.008326442
CA-Ca3,2018,72_86,116,6,0.086104566,-0.005186064,1.314231312,NA,NA,4.980201133,1.702194994,-0.260421494
CA-Ca3,2019,72_86,135,3,0.165511434,-0.002532414,0.692652619,NA,NA,4.937539056,1.433032258,-0.432547425
CA-Ca3,2020,72_86,101,0,0.117748007,-0.005162176,0.947569754,NA,NA,3.878882684,1.473683179,-0.404575254
CA-Ca3,2021,72_86,165,0,0.184510738,-0.001714309,0.880084935,NA,NA,4.608692917,2.045837529,-0.07653283
CA-Ca3,2022,72_86,152,0,0.099777878,-0.005037961,1.238670623,NA,NA,5.324141667,1.715710322,-0.252512908
CA-Ca3,2023,72_86,106,0,0.097495085,-0.004817627,0.868790074,NA,NA,4.410136806,1.208018741,-0.603358471
CA-Ca3,2024,72_86,158,3,0.159240884,-0.003146362,0.888489318,NA,NA,6.143027083,1.753946124,-0.230471907
CA-Ca3,2005,86_100,141,0,0.06414628,-0.004895877,2.54105547,NA,NA,6.063738889,3.081807681,0.119337091
CA-Ca3,2010,86_100,152,0,0.111771333,-0.005296521,1.787186475,NA,NA,5.0699,2.85250359,0.042017818
CA-Ca3,2011,86_100,150,0,0.139195021,-0.004882431,1.595989208,NA,NA,5.238895139,3.033413691,0.103509372
CA-Ca3,2012,86_100,110,21,0.14577363,-0.003570618,1.550163906,NA,NA,4.870557895,3.226571317,0.165240818
CA-Ca3,2013,86_100,104,0,0.155744402,-0.003219492,1.240427252,NA,NA,7.644652917,2.715239055,-0.007299244
CA-Ca3,2014,86_100,134,3,0.146154681,-0.003270942,1.319234483,NA,NA,6.234964861,2.735130757,0
CA-Ca3,2015,86_100,133,0,0.166118949,-0.002010865,0.908165729,NA,NA,7.401723611,2.223289285,-0.207191484
CA-Ca3,2016,86_100,110,3,0.093994995,-0.005013165,2.073992156,NA,NA,8.503884444,2.882476059,0.052470424
CA-Ca3,2017,86_100,113,0,0.083606616,-0.005116115,1.572217617,NA,NA,5.787533611,2.066423544,-0.280359887
CA-Ca3,2018,86_100,111,3,0.104331077,-0.0045751,1.162838307,NA,NA,6.095079189,1.765189174,-0.437921378
CA-Ca3,2019,86_100,137,3,0.164601309,-0.002363954,0.809137161,NA,NA,6.761690526,1.935377599,-0.345876794
CA-Ca3,2020,86_100,133,3,0.137542128,-0.00450816,1.016293471,NA,NA,5.459371328,1.926635371,-0.350404093
CA-Ca3,2021,86_100,214,3,0.183458992,-0.001603093,0.780422305,NA,NA,5.060036389,2.190923215,-0.221856229
CA-Ca3,2022,86_100,142,0,0.157931612,-0.003042298,1.006529841,NA,NA,5.826279444,2.270408201,-0.186219604
CA-Ca3,2023,86_100,167,0,0.151447004,-0.003407078,0.862845685,NA,NA,4.985169167,1.850679571,-0.390626336
CA-Ca3,2024,86_100,160,0,0.091132512,-0.004929607,1.309027933,NA,NA,6.430651667,1.801208405,-0.417721468
CA-Ca3,2005,100_114,133,0,0.129610351,-0.002022537,1.487857467,NA,NA,8.461880556,3.337583099,-0.034140836
CA-Ca3,2010,100_114,136,3,0.143558195,-0.003238142,1.393956626,NA,NA,7.8743625,3.234278645,-0.06558184
CA-Ca3,2011,100_114,240,9,0.159044095,-0.003805164,1.407868275,NA,NA,4.887235514,3.576153644,0.034900064
CA-Ca3,2012,100_114,108,21,0.134032988,-0.003935578,1.821668561,NA,NA,7.03610164,3.752947958,0.083153895
CA-Ca3,2013,100_114,124,3,0.171528473,-0.001836421,1.053770775,NA,NA,7.077575139,3.206287023,-0.074274181
CA-Ca3,2014,100_114,137,3,0.135239297,-0.003800541,1.67249945,NA,NA,7.19042625,3.453498441,0
CA-Ca3,2015,100_114,120,3,0.110190616,-0.004353383,1.957122301,NA,NA,7.4636275,3.302889186,-0.044590162
CA-Ca3,2016,100_114,152,12,0.126125201,-0.002440568,1.458061137,NA,NA,10.12054125,3.002928983,-0.139799618
CA-Ca3,2017,100_114,137,3,0.160202522,-0.002606805,0.971295733,NA,NA,7.031674583,2.596429379,-0.285250573
CA-Ca3,2018,100_114,101,6,0.141500452,-0.002986157,1.252498313,NA,NA,7.106853056,2.835135771,-0.197297931
CA-Ca3,2019,100_114,125,0,0.157798888,-0.002572367,0.987236829,NA,NA,7.360149583,2.56891407,-0.295904489
CA-Ca3,2020,100_114,108,3,0.158190014,-0.002500893,0.834750966,NA,NA,8.136004727,2.18858931,-0.456130573
CA-Ca3,2021,100_114,140,0,0.1678963,-0.001526084,0.69983091,NA,NA,8.379807222,2.107475632,-0.49389691
CA-Ca3,2022,100_114,244,9,0.166743003,-0.002549757,1.000648601,NA,NA,5.206496528,2.850362719,-0.191941502
CA-Ca3,2023,100_114,175,3,0.160202302,-0.002816459,0.96461192,NA,NA,5.518136944,2.571561704,-0.294874377
CA-Ca3,2024,100_114,129,0,0.097410001,-0.004832585,1.592960664,NA,NA,7.037889306,2.364788983,-0.378698965
CA-Ca3,2005,114_128,121,6,0.127598565,-0.001616836,1.495208449,NA,NA,12.88419444,3.902514647,0.005186534
CA-Ca3,2010,114_128,129,6,0.143662882,-0.003161198,1.569178428,NA,NA,7.355425,4.252317992,0.091029651
CA-Ca3,2011,114_128,152,6,0.163572308,-0.003383593,1.438270188,NA,NA,6.929245,4.62798871,0.175687777
CA-Ca3,2012,114_128,105,9,0.122548963,-0.00362106,1.987867731,NA,NA,7.912055,4.224018854,0.084352417
CA-Ca3,2013,114_128,130,3,0.160019224,-0.00352194,1.288933569,NA,NA,9.795066184,3.961087558,0.020084031
CA-Ca3,2014,114_128,104,3,0.125406183,-0.003932032,1.837629404,NA,NA,8.896578333,3.882326522,0
CA-Ca3,2015,114_128,129,3,0.09577296,-0.00561078,2.639150353,NA,NA,8.748514861,3.784333252,-0.025564877
CA-Ca3,2016,114_128,151,9,0.14013286,-0.002020548,1.201656255,NA,NA,10.53918667,3.300338454,-0.162409568
CA-Ca3,2017,114_128,133,6,0.167023997,-0.001729854,0.896798496,NA,NA,8.178678611,3.288123185,-0.166117651
CA-Ca3,2018,114_128,108,6,0.123670632,-0.003107747,1.378407529,NA,NA,10.57456653,3.092950416,-0.22730913
CA-Ca3,2019,114_128,116,0,0.118835556,-0.005049161,1.565144008,NA,NA,8.776954444,2.873703584,-0.300832948
CA-Ca3,2020,114_128,125,3,0.141832881,-0.002281701,0.983518288,NA,NA,8.508920556,2.775289664,-0.335679468
CA-Ca3,2021,114_128,102,3,0.149408723,-0.002104027,0.878388611,NA,NA,8.841029583,2.59767358,-0.401818325
CA-Ca3,2022,114_128,220,12,0.143755882,-0.004015087,1.244784848,NA,NA,6.922719306,3.187191732,-0.197294399
CA-Ca3,2023,114_128,139,6,0.145670225,-0.003261426,1.059799876,NA,NA,9.523599861,2.907396671,-0.289176527
CA-Ca3,2024,114_128,106,0,0.128671798,-0.003529811,1.480300154,NA,NA,8.283044444,3.23635967,-0.181985453
CA-Ca3,2005,128_142,103,3,0.134253276,-0.002183836,1.819566707,NA,NA,12.28140694,5.816839024,0.065548841
CA-Ca3,2010,128_142,128,6,0.150059025,-0.002254384,1.59378789,NA,NA,9.723393977,6.063280332,0.107042812
CA-Ca3,2011,128_142,190,9,0.100332592,-0.004188989,2.49432583,NA,NA,8.952143333,4.389602336,-0.215969511
CA-Ca3,2012,128_142,102,6,0.141448197,-0.001999218,1.605734059,NA,NA,9.320263611,5.592370311,0.026195074
CA-Ca3,2013,128_142,118,9,0.161503818,-0.005032339,1.845120247,NA,NA,11.35739361,5.771226314,0.05767644
CA-Ca3,2014,128_142,105,3,0.141794443,-0.002147462,1.645114877,NA,NA,11.76842431,5.447779804,0
CA-Ca3,2015,128_142,107,6,0.130045537,-0.003365266,1.660235749,NA,NA,12.83863583,4.31415548,-0.233306562
CA-Ca3,2016,128_142,106,3,0.132724598,-0.002402239,1.413281808,NA,NA,11.99806375,3.950164416,-0.321450948
CA-Ca3,2017,128_142,117,0,0.140166107,-0.002885406,1.210769254,NA,NA,9.789831806,3.82119384,-0.354645253
CA-Ca3,2018,128_142,100,9,0.127340775,-0.002193763,1.207007096,NA,NA,12.82369611,3.409748228,-0.468569695
CA-Ca3,2019,128_142,105,6,0.133383894,-0.002445461,1.307121342,NA,NA,11.75477792,3.892738916,-0.336095149
CA-Ca3,2020,128_142,102,3,0.157773108,-0.001492136,0.819430955,NA,NA,11.35936569,3.543171389,-0.430185952
CA-Ca3,2021,128_142,108,3,0.182046967,-0.000853285,0.633077758,NA,NA,10.37415069,4.048239665,-0.296926014
CA-Ca3,2022,128_142,208,12,0.129576366,-0.002595402,1.287188846,NA,NA,7.681039861,3.76815344,-0.368623072
CA-Ca3,2023,128_142,115,6,0.094433304,-0.002593643,1.766953356,NA,NA,13.18308056,3.363891313,-0.482109717
CA-Ca3,2024,128_142,106,3,0.120928061,-0.002935408,1.495681307,NA,NA,10.64475681,3.642689343,-0.402485911
CA-Ca3,2005,142_156,108,3,0.12660941,-0.002363402,1.954690782,NA,NA,13.72501667,6.088591512,0.040760938
CA-Ca3,2010,142_156,145,9,0.163517419,-0.001316962,1.345545889,NA,NA,9.995463889,7.505018005,0.249916026
CA-Ca3,2011,142_156,125,6,0.155670442,-0.002083029,1.286100946,NA,NA,10.53246319,5.939674374,0.015998475
CA-Ca3,2012,142_156,119,3,0.167482357,-0.001462893,1.226854797,NA,NA,10.56936611,7.07568205,0.191008004
CA-Ca3,2013,142_156,103,9,0.125902138,-0.002795769,2.39245705,NA,NA,10.93738514,6.604017841,0.12202239
CA-Ca3,2014,142_156,122,9,0.114916494,-0.003279697,2.654190908,NA,NA,11.89909,5.845404738,0
CA-Ca3,2015,142_156,116,9,0.085879316,-0.004849881,3.876549633,NA,NA,13.85615556,4.906397359,-0.175115901
CA-Ca3,2016,142_156,105,6,0.093677747,-0.004313403,3.948654408,NA,NA,12.18432347,5.92288477,0.013167785
CA-Ca3,2017,142_156,115,3,0.146883003,-0.001912272,1.126506853,NA,NA,12.48453778,4.546104234,-0.251385184
CA-Ca3,2018,142_156,109,15,0.171505226,-0.000946628,0.525721027,NA,NA,11.87310847,3.404341736,-0.54060424
CA-Ca3,2019,142_156,108,12,0.103240377,-0.002490031,1.912677695,NA,NA,13.03949306,4.170884614,-0.337527687
CA-Ca3,2020,142_156,113,6,0.141627389,-0.00210881,1.188378818,NA,NA,11.50816556,4.126150893,-0.348310853
CA-Ca3,2021,142_156,125,15,0.169486245,-0.00152141,0.753339848,NA,NA,12.02331486,4.449834124,-0.272789018
CA-Ca3,2022,142_156,264,15,0.148171662,-0.001787197,1.035879103,NA,NA,10.60305278,4.579599874,-0.244044207
CA-Ca3,2023,142_156,107,6,0.10665398,-0.003646584,1.723430332,NA,NA,12.26572292,3.266240178,-0.582016307
CA-Ca3,2024,142_156,131,3,0.144408556,-0.002089672,1.226517237,NA,NA,10.27247431,4.715297743,-0.214843776
CA-Ca3,2005,156_170,106,9,0.120924396,-0.001910081,2.075378942,NA,NA,13.05829722,6.380234632,0.09602008
CA-Ca3,2010,156_170,100,9,0.141717204,-0.00187905,1.960131088,NA,NA,11.67436667,7.680401668,0.281487054
CA-Ca3,2011,156_170,105,9,0.151295151,-0.001864628,1.513587498,NA,NA,12.14568066,6.94498167,0.180834544
CA-Ca3,2012,156_170,117,6,0.158804406,-0.001685883,1.577701769,NA,NA,10.77905958,8.194705378,0.346303468
CA-Ca3,2013,156_170,103,9,0.149953811,-0.00180915,1.554897497,NA,NA,12.73985833,6.878700727,0.171244994
CA-Ca3,2014,156_170,104,9,0.084845372,-0.004779738,4.5377226,NA,NA,12.38090167,5.796097189,0
CA-Ca3,2015,156_170,104,12,0.084116845,-0.004132056,3.412099723,NA,NA,14.03872903,4.620228172,-0.226740701
CA-Ca3,2016,156_170,100,3,0.13523592,-0.002697842,1.817148014,NA,NA,12.61945153,5.850303768,0.009308794
CA-Ca3,2017,156_170,125,6,0.122880017,-0.002878627,1.707726642,NA,NA,11.75621667,4.569158871,-0.237855659
CA-Ca3,2018,156_170,109,15,0.165354214,-0.001025598,0.56538469,NA,NA,12.091665,3.509803024,-0.501624875
CA-Ca3,2019,156_170,118,9,0.150954668,-0.001498723,0.840468007,NA,NA,12.99422545,3.791765854,-0.424352957
CA-Ca3,2020,156_170,112,6,0.142421346,-0.0020157,1.219765228,NA,NA,11.266355,4.546156061,-0.242902738
CA-Ca3,2021,156_170,118,18,0.135143815,-0.00180162,1.030645469,NA,NA,11.62612861,3.961539966,-0.380551963
CA-Ca3,2022,156_170,105,3,0.100280817,-0.003997379,2.741318168,NA,NA,11.44841708,4.384235671,-0.279169487
CA-Ca3,2023,156_170,103,12,0.128423846,-0.002492461,1.232465307,NA,NA,12.7579925,3.599449858,-0.476403776
CA-Ca3,2024,156_170,126,3,0.151595913,-0.001437587,0.880445183,NA,NA,11.616395,4.186191507,-0.32539342
CA-Ca3,2005,170_184,119,9,0.129623092,-0.001907223,1.946077507,NA,NA,15.57438889,7.610621264,0.205761109
CA-Ca3,2010,170_184,113,12,0.109363294,-0.002468039,2.95433435,NA,NA,12.79851111,7.922368109,0.245906467
CA-Ca3,2011,170_184,102,6,0.113848603,-0.003337255,3.416578708,NA,NA,12.59817727,7.869412773,0.239199746
CA-Ca3,2012,170_184,108,6,0.119522992,-0.002382372,2.721762685,NA,NA,12.75691153,8.359348408,0.299596785
CA-Ca3,2013,170_184,114,12,0.106214157,-0.003698247,3.148896984,NA,NA,14.65780766,6.154069868,-0.006670067
CA-Ca3,2014,170_184,106,12,0.072929697,-0.003917105,5.13506516,NA,NA,13.90955383,6.195255131,0
CA-Ca3,2015,170_184,119,18,0.093961044,-0.002835278,2.385213893,NA,NA,16.13009306,4.546162568,-0.309500212
CA-Ca3,2016,170_184,112,9,0.13438798,-0.002157785,1.459994497,NA,NA,13.8659,5.678239951,-0.087142381
CA-Ca3,2017,170_184,109,9,0.096534192,-0.003254752,2.213875666,NA,NA,13.9580304,4.038785544,-0.427839659
CA-Ca3,2018,170_184,112,15,0.162913671,-0.001040543,0.5704831,NA,NA,13.8057875,4.249883745,-0.376892069
CA-Ca3,2019,170_184,101,3,0.134503991,-0.001918206,1.213639216,NA,NA,13.59470833,4.527623875,-0.313586426
CA-Ca3,2020,170_184,114,9,0.135530426,-0.001923566,1.322509145,NA,NA,13.89340139,5.166534014,-0.181581637
CA-Ca3,2021,170_184,109,15,0.111155869,-0.001294954,1.36014335,NA,NA,17.43762639,4.602902968,-0.297096513
CA-Ca3,2022,170_184,124,3,0.104886299,-0.00268745,1.99665912,NA,NA,13.82263292,4.717087867,-0.272592066
CA-Ca3,2023,170_184,125,21,0.091591177,-0.00459247,2.379342824,NA,NA,14.07140444,3.211221273,-0.657132374
CA-Ca3,2024,170_184,103,6,0.125689383,-0.002265198,1.264603828,NA,NA,13.40624583,4.112451069,-0.40976448
